Lesson #,Lesson ID,Lesson Title,Step #,Step Title,Copy (Body Text),Player Action Required,Notes
1,dice,Rolling the Dice,1,Welcome to Craps,"At its simplest, Craps is a game about the total of a roll of two standard dice.",None,
1,dice,Rolling the Dice,2,Dice Totals,"Each roll produces a total from 2 through 12, with the 7 being the most common outcome.",None,
1,dice,Rolling the Dice,3,Roll the Dice,Press Roll.,Roll (any result),Free roll - not forced
1,dice,Rolling the Dice,4,Your Roll,The two dice are added together. Most bets win or lose based on this total.,None,Highlights dice zone
1,dice,Rolling the Dice,5,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
2,passline,The Pass Line,1,The Pass Line,The Pass Line is the standard starting bet.,None,Come-out phase
2,passline,The Pass Line,2,Place Your Bet,Place a bet on the Pass Line. Do this by tapping the Pass Line (which will increment up the bet by the selected chip amount), or by dragging a chip from your chip tray to the Pass Line box.,Place bet on Pass Line,
2,passline,The Pass Line,3,The Come Out Roll,The first roll of a new round is called the Come Out Roll. A Come Out Roll is trying to establish a Point.,None,Roll button enabled here
2,passline,The Pass Line,4,Seven-Eleven,"On the Come Out Roll, a 7 or 11 wins the Pass Line immediately.",Roll (forced 7),
2,passline,The Pass Line,5,Winner!,A 7 on the Come Out Roll wins your Pass Line bet.,None,
2,passline,The Pass Line,6,Keep Going,Place another Pass Line bet.,Place bet on Pass Line,
2,passline,The Pass Line,7,Another Winner,There are multiple ways to win on the Come Out Roll.,Roll (forced 11),
2,passline,The Pass Line,8,Eleven Wins,An 11 also wins the Pass Line on the Come Out Roll.,None,
2,passline,The Pass Line,9,Craps Numbers,It is possible to lose your bet on the Come Out Roll.,None,
2,passline,The Pass Line,10,Any Craps,Place another Pass Line bet.,Place bet on Pass Line,
2,passline,The Pass Line,11,Roll It,Roll the dice.,Roll (forced 3),
2,passline,The Pass Line,12,Craps,"A 2, 3, or 12 on the Come Out Roll loses the Pass Line bet. You rolled a 3, so your wager is lost.",None,
2,passline,The Pass Line,13,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
3,point,Establishing a Point,1,Point Numbers,"A Come Out Roll of 4, 5, 6, 8, 9, or 10 establishes a Point.",None,
3,point,Establishing a Point,2,Start a Round,Place a bet on the Pass Line.,Place bet on Pass Line,
3,point,Establishing a Point,3,Set the Point,Roll the dice.,Roll (forced 6),
3,point,Establishing a Point,4,The Point Is 6,The Point marker moves to 6. The round now continues until either 6 or 7 is rolled.,None,Highlights dice + numbox 6
3,point,Establishing a Point,5,Make the Point,Your Pass Line bet wins if the Point rolls again before a 7.,None,
3,point,Establishing a Point,6,Other Numbers,Other dice totals do not resolve the Pass Line bet. The Point stays active.,Roll (forced 9),
3,point,Establishing a Point,7,The Round Continues,A 9 does not affect this Pass Line bet. The Point is still 6.,None,
3,point,Establishing a Point,8,Hit the Point,Roll again.,Roll (forced 6),
3,point,Establishing a Point,9,Point Made,"You rolled the Point before a 7, so the Pass Line wins.",None,
3,point,Establishing a Point,10,Seven Out,"If a 7 rolls before the Point, the Pass Line loses. This is called a Seven Out.",None,
3,point,Establishing a Point,11,See a Seven Out,Place another Pass Line bet and establish a new Point.,Place bet on Pass Line,
3,point,Establishing a Point,12,Roll the Point,Roll the dice.,Roll (forced 8),
